"COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_001","DESVIOS_MELHOR_INDICADOR_01","INDICADOR_002","DESVIOS_MELHOR_INDICADOR_02","INDICADOR_004","DESVIOS_MELHOR_INDICADOR_04","INDICADOR_007","DESVIOS_MELHOR_INDICADOR_07","INDICADOR_009","DESVIOS_MELHOR_INDICADOR_09","INDICADOR_020","DESVIOS_MELHOR_INDICADOR_020","INDICADOR_021","DESVIOS_MELHOR_INDICADOR_021","INDICADOR_035","DESVIOS_MELHOR_INDICADOR_035","INDICADOR_041","DESVIOS_MELHOR_INDICADOR_041","INDICADOR_101","DESVIOS_MELHOR_INDICADOR_101","INDICADOR_102","DESVIOS_MELHOR_INDICADOR_102","INDICADOR_103","DESVIOS_MELHOR_INDICADOR_103","INDICADOR_105","DESVIOS_MELHOR_INDICADOR_105","INDICADOR_106","DESVIOS_MELHOR_INDICADOR_106","INDICADOR_107","DESVIOS_MELHOR_INDICADOR_107","INDICADOR_108","DESVIOS_MELHOR_INDICADOR_108","INDICADOR_109","DESVIOS_MELHOR_INDICADOR_109","INDICADOR_110","DESVIOS_MELHOR_INDICADOR_110","INDICADOR_111","DESVIOS_MELHOR_INDICADOR_111","INDICADOR_112","DESVIOS_PIOR_INDICADOR_112","INDICADOR_113","DESVIOS_PIOR_INDICADOR_113","INDICADOR_114","DESVIOS_PIOR_INDICADOR_114"
250040,2008,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",92.69,-2,49.41,1,100,4,0.29,1,0.93,1,72.68,2,45.35,-1,50,-1,0,2,194.855064974619,-1,780.138396954315,-1,0.239348025977332,1,4.00368549339957,1,0.174330999181435,-2,2289430.67,1,1299259.29,1,0.0333785951405485,1,0.030962060001,2,0.03096206,2,0,0,NA,NA,NA,NA
250040,2008,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",92.69,-2,49.41,1,100,4,0.29,1,0.93,1,72.68,2,45.35,-1,50,-1,0,2,194.855064974619,-1,780.138396954315,-1,0.239348025977332,1,4.00368549339957,1,0.174330999181435,-2,2289430.67,1,1299259.29,1,0.0333785951405485,1,0.000774726543,-2,0.03096206,2,0,0,NA,NA,NA,NA
250040,2009,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",100,4,49.31,1,100,4,0.24,1,0.82,-1,70.78,2,59.04,1,66.67,0,0,2,217.047333569047,-1,929.276445095464,-1,0.217924172468052,-1,4.28144603213861,1,0.307306049260708,-1,2470714.96,1,1708831.12,1,0.00220950248503578,-2,0.02514777217,1,0.02514777217,1,0,2,NA,NA,NA,NA
250040,2010,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",100,4,47.45,1,100,4,0.11,-1,0.91,-1,68.62,2,60.92,1,66.67,0,0,0,285.48839337432,-1,1047.34336212591,-1,0.252752794117987,1,3.66860224945354,-1,0.287832746605077,-1,3571996.64,1,1807503.59,1,0.0142390805204951,-1,0.028332504496,1,0.0283325045,1,0,0,3823173.19,2,0.0833163315,-2
250040,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",100,4,53.69,2,100,4,0.22,-1,1.04,-1,64.77,2,55.68,-1,62.5,1,0,-4,323.793083071942,-1,1259.65771172721,-1,0.240487154973449,1,3.89031692640368,-1,0.26790932110798,-1,4633374.93,2,1611134.73,1,0.0114933388604188,-1,0.012816369412,-1,0.01281636941,-1,0,0,4275931.03,2,0.0965003918,-2
250040,2012,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",100,4,43.49,1,100,4,0.57,1,1.51,1,1.51,1,1.51,1,12.5,0,85.71,3,424.673304448587,-1,1466.67964532218,-1,0.25283333103016,1,3.45366574719496,-1,0.501508975716513,-1,6456111.29,2,1875782.16,1,0.00270753568640428,-2,0.008015363793,-1,0.00801536379,-1,0.0008375507,1,5786697.53,2,0.3562626318,1
250050,2007,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.699068947005,-1,661.642835340133,-1,0.206895165377599,-1,4.41981930812383,1,0.413546412022061,1,966316.72,-1,940062.44,1,NA,NA,0.022045915917,1,0.02204591592,1,0.00128847087,1,1332059.48,1,0.6868307133,1
250050,2008,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",91.71,-2,35.93,-1,68.78,-2,0.07,-1,1.39,2,58.47,-1,44.76,-1,33.33,-1,0,2,146.680856673389,-1,629.714122787363,-1,0.221520830389715,-1,4.29309002598434,1,0.221158129553585,-2,1804599.24,1,123847.35,-1,NA,NA,0.00592287837,-1,0.01213467018,-1,0,0,1261898.55,1,0.6665774494,1
250050,2008,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",91.71,-2,35.93,-1,68.78,-2,0.07,-1,1.39,2,58.47,-1,44.76,-1,33.33,-1,0,2,146.680856673389,-1,629.714122787363,-1,0.221520830389715,-1,4.29309002598434,1,0.221158129553585,-2,1804599.24,1,123847.35,-1,NA,NA,0.012134670184,-1,0.01213467018,-1,0,0,1261898.55,1,0.6665774494,1
250050,2009,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,36.79,-1,100,4,0.16,1,1.46,2,61.51,1,42.68,-1,50,-1,0,2,184.320526354863,-1,791.058124721604,-1,0.208306664535495,-1,4.29175274379708,1,0.508861783970951,1,2272984.17,1,161477.34,-1,NA,NA,0.000950540674,-1,0.01851781315,1,0,2,1541309.9,1,0.4963366581,1
250050,2009,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,36.79,-1,100,4,0.16,1,1.46,2,61.51,1,42.68,-1,50,-1,0,2,184.320526354863,-1,791.058124721604,-1,0.208306664535495,-1,4.29175274379708,1,0.508861783970951,1,2272984.17,1,161477.34,-1,NA,NA,0.018517813146,1,0.01851781315,1,0,2,1541309.9,1,0.4963366581,1
250050,2010,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,34.39,-1,100,4,0.29,1,1.78,2,56.19,1,54.87,-1,33.33,-1,0,0,200.228986446671,-1,947.042130229817,-1,0.197330202573122,-1,4.72979535598885,1,0.337852611531188,-1,2551989.11,1,129311.61,-1,NA,NA,0.011407092863,-1,0.01140709286,-1,0,0,1893149.58,1,0.4059489679,-1
250050,2010,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,34.39,-1,100,4,0.29,1,1.78,2,56.19,1,54.87,-1,33.33,-1,0,0,200.228986446671,-1,947.042130229817,-1,0.197330202573122,-1,4.72979535598885,1,0.337852611531188,-1,2551989.11,1,129311.61,-1,NA,NA,0.002207254811,-1,0.01140709286,-1,0,0,1893149.58,1,0.4059489679,-1
250050,2011,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,33.99,-1,100,4,1,2,1.49,1,57.59,1,58.64,-1,0,-4,85.71,3,272.490958272328,-1,1122.51104465593,-1,0.219157744112077,-1,4.11944327170698,1,0.443480133311286,0,3626841.68,1,95384.81,-1,NA,NA,NA,NA,NA,NA,0,0,2601231.99,1,0.1244389211,-2
250050,2012,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,22.15,-2,100,4,1.27,2,2.35,2,2.35,2,2.35,2,12.5,0,85.71,3,395.472759097525,-1,1557.69430931587,-1,0.22371205841698,-1,3.93881569206068,1,0.531216040140751,-1,4505859.82,1,731298.88,-1,NA,NA,0.001388348109,-1,0.01877690393,1,0,0,3721812.71,1,0.2666804681,-1
250050,2012,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",100,4,22.15,-2,100,4,1.27,2,2.35,2,2.35,2,2.35,2,12.5,0,85.71,3,395.472759097525,-1,1557.69430931587,-1,0.22371205841698,-1,3.93881569206068,1,0.531216040140751,-1,4505859.82,1,731298.88,-1,NA,NA,0.018776903926,1,0.01877690393,1,0,0,3721812.71,1,0.2666804681,-1
250053,2007,2502,"Borborema",250211,"Cariri Oriental","Alcantil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.707585958596,-1,1007.29571557156,1,0.217559495111428,-1,42375413115634,2,0.35890252320386,-1,174516.04,-2,804720.27,1,NA,NA,0.258415910012,3,NA,NA,0,0,710717.14,-1,0.6992675269,1
250053,2008,2502,"Borborema",250211,"Cariri Oriental","Alcantil",100,4,36.69,-1,100,4,0.19,1,0.94,1,51.56,-1,67.97,2,83.33,2,0,2,299.436311648436,1,1241.20907311457,1,0.228157099740647,-1,4.14515215700309,1,0.23779275742968,-2,172857.9,-2,992562.61,1,NA,NA,0.253109184325,3,NA,NA,0,0,779730.21,-1,0.7698040839,2
250053,2009,2502,"Borborema",250211,"Cariri Oriental","Alcantil",100,4,30.67,-2,100,4,0.36,2,1.09,1,37.7,-2,71.31,2,83.33,2,0,2,291.202100133767,1,1282.57660806421,1,0.210197995990909,-1,4.40442087290938,1,0.352998413063494,1,131942.21,-2,992602.87,1,NA,NA,0.262042021836,3,NA,NA,0,2,904221.28,-1,0.7711390781,2
250053,2010,2502,"Borborema",250211,"Cariri Oriental","Alcantil",100,4,29.81,-2,100,4,0.48,2,0.74,-1,34.29,-1,60.71,1,66.67,0,0,0,311.629377743844,-1,1411.26809123879,1,0.203845178283889,-1,45286747400267,2,0.377009114841473,-1,604751.02,-2,NA,NA,NA,NA,NA,NA,NA,NA,0.62958393094,2,1049663.88,-1,0.7727041225,2
250053,2011,2502,"Borborema",250211,"Cariri Oriental","Alcantil",100,4,17.53,-3,100,4,0.21,-1,1.44,1,45.71,-1,56.19,-1,50,0,0,-4,368.624324272952,-1,1593.1456529177,1,0.209956768296544,-1,4.32186795068367,1,0.441017323810531,-1,623652.6,-2,72965.04,-1,NA,NA,NA,NA,NA,NA,0.64079516284,2,1149172.31,-1,0.3112714281,-1
250053,2012,2502,"Borborema",250211,"Cariri Oriental","Alcantil",100,4,25.74,-1,100,4,0.19,-1,2.1,1,2.1,1,2.1,1,87.5,3,0,-4,445.823585762969,-1,1747.55519121545,1,0.189983854366768,-1,3.91983566375192,1,1.34376951645186,2,707567.94,-2,66517.72,-1,NA,NA,NA,NA,NA,NA,0.67127889758,2,1539557.2,-1,0.2838433556,-1
250057,2007,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.592425373134,1,2068.50045190713,1,0.221551559410814,-1,41737935166175,2,0.339828516372765,-1,1101572.57,-1,3000,-3,0.000184043598991652,-2,0.007536635572,-1,0.00753663557,-2,0,0,502874.04,-2,0.5889433333,-1
250057,2007,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.592425373134,1,2068.50045190713,1,0.221551559410814,-1,41737935166175,2,0.339828516372765,-1,1101572.57,-1,3000,-3,0.000184043598991652,-2,0.001104010625,-2,0.00753663557,-2,0,0,502874.04,-2,0.5889433333,-1
250057,2008,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",100,4,32,-2,100,4,0.04,-1,0.08,-2,78.33,2,55,1,16.67,-2,0,2,653.40556709597,1,2440.79515995015,1,0.258956648034417,1,3.73549795542475,-1,0.126152276729534,-2,1539899,1,19910,-2,NA,NA,0.001209921086,-2,0.00120992109,-2,0,0,575200.57,-2,0.6545122856,1
250057,2008,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",100,4,32,-2,100,4,0.04,-1,0.08,-2,78.33,2,55,1,16.67,-2,0,2,653.40556709597,1,2440.79515995015,1,0.258956648034417,1,3.73549795542475,-1,0.126152276729534,-2,1539899,1,19910,-2,NA,NA,0.007016575836,-1,0.00120992109,-2,0,0,575200.57,-2,0.6545122856,1
