"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_103",2010,0.130339047986563,0.13316231458476,0.162097369278333,0.192831782172594,0.223102413064395,0.270347635136085,0.363262898785572,0.529611445837667,0.542148747060161
"INDICADOR_103",2011,0.100279341717788,0.103423627644805,0.155267933410603,0.189830611587043,0.224232899447564,0.272192680352328,0.367417535073878,0.479472468370493,0.493633891445211
"INDICADOR_103",2012,0.0147456652511102,0.0385351938958285,0.148710862434544,0.188233269566073,0.228201731495229,0.289529113826607,0.365963850638608,0.422974333683945,0.426486753768431
"INDICADOR_104",2007,0,0,0,0.00862050961596792,0.0860770168263232,0.261782765995666,0.529445877426967,0.830836119498766,0.831636546227521
"INDICADOR_104",2008,0,0,0.000392400704381743,0.0151296815938148,0.0876914051432405,0.229444906961991,0.389591851307953,0.603615009376856,0.615274848033554
"INDICADOR_104",2009,0,0,0.00513224357885231,0.0250523798463964,0.0986065565490134,0.238537159313091,0.504436533456408,0.721201920598753,0.723727365576795
"INDICADOR_104",2010,0,0,0.00190252368204738,0.01245213832213,0.0772980570218192,0.202739652422139,0.603948657067537,0.823762426696913,0.836810142568537
"INDICADOR_104",2011,0.00133564456831153,0.00173031462823478,0.00694395321291231,0.035247759199153,0.108037872716948,0.223371497917078,0.497438753642152,0.753719831141264,0.776802439607504
"INDICADOR_104",2012,0.000548112141548483,0.000923058887958661,0.00524581674536735,0.0344342637419854,0.105613770707929,0.203652191788872,0.492534188035426,0.729282143414615,0.758134023433583
"INDICADOR_105",2007,0.563492510673698,0.581971140978002,0.735533250088006,0.894963561456771,0.963068152392172,0.996784298418891,1,1,1
"INDICADOR_105",2008,0.53087440932286,0.567069615389911,0.823787135233599,0.899965898650231,0.963850990190601,0.993254745285069,0.999761218385122,1,1
"INDICADOR_105",2009,0.602912583309687,0.608582654978978,0.848051385567477,0.929563812028909,0.969075130474378,0.993204056703705,0.998077890444861,1,1
"INDICADOR_105",2010,0.590497435193892,0.601012300425539,0.734951995844692,0.914208518822941,0.970736675035824,0.99443687656654,0.99937170727243,1,1
"INDICADOR_105",2011,0.63797251980553,0.65416387171347,0.753676088109223,0.903925239010764,0.953185758834002,0.984841245756599,0.997505708914043,0.999485711402911,0.999676621829162
"INDICADOR_105",2012,0.598243803170909,0.60154257868269,0.681649295292034,0.879851748857441,0.94946722771364,0.981278969495192,0.996970695873905,0.999524129769131,0.999817412659537
"INDICADOR_106",2007,0,0,0,0.00321570158110922,0.0369318476078277,0.105036438543229,0.264466749911994,0.418028859021998,0.436507489326302
