"REGIAO","ANO","INDICADOR_001","INDICADOR_002","INDICADOR_004","INDICADOR_007","INDICADOR_009","INDICADOR_020","INDICADOR_021","INDICADOR_035","INDICADOR_041","INDICADOR_114","INDICADOR_105","INDICADOR_106","INDICADOR_111","INDICADOR_110","INDICADOR_109","INDICADOR_107","INDICADOR_112","INDICADOR_108","INDICADOR_113","INDICADOR_103","INDICADOR_102","INDICADOR_101"
"Cajazeiras",2010,100,48,100,0.055,0.79,39.525,49.395,16.67,0,0.4011408689,4.29897343014033,0.642614305752035,0.024134766915,0.009405075229,0.0657680663913754,1672226.82,0,461489.75,887960.45,0.199931601006521,1261.60918536991,280.353179551122
"Cajazeiras",2011,100,41.585,100,0.07,0.925,39.97,64.415,25,0,0.3055817756,4.17011980311419,0.797504407440085,0.02899898269,0.012845544414,0.0917962401637778,1828840.33,0,463602.48,1383534.23,0.197791665425128,1462.18094872327,286.913728461698
"Cajazeiras",2012,100,42.01,100,0.185,1.035,NA,NA,12.5,28.57,0.30681389455,4.97010560743158,0.817707069282068,0.01917422871,0.013559919063,0.137815271589082,2229520.92,0,285244.3,1631319.09,0.198226464696015,1829.34345738295,384.879548201608
"Campina Grande",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6751789121,4.1686343482161,0.262522625333839,0.02384652864,0.023846528638,0.0429632714226136,1225489.06,0,993902.525,1330217.22,0.233890134147941,1230.38730786169,314.510728424493
"Campina Grande",2008,100,40.78,100,0.355,0.635,61.99,45.545,50,0,0.6194348765,4.06285963386499,0.367892155022363,0.0224585537,0.0224585536985,0.053309632659849,1479877.86,0,1500852.78,1531074.64,0.226959476665379,1207.06424537993,271.90254143841
"Campina Grande",2009,100,37.07,100,0.315,0.79,66.67,58.635,66.67,0,0.56518324865,4.1113820982298,0.337866193340521,0.011795063875,0.007223694029,0.0418510652925477,1458812.655,0,1368128.56,1762969.59,0.227561852036825,1263.93274826522,303.475032685995
"Campina Grande",2010,100,32.525,100,0.31,1.02,61.84,63.705,66.67,0,0.40283099055,4.07943963686434,0.334376624572699,0.013408648755,0.010368442948,0.038442116465771,1603979.61,0,1733753.57,3385403.34,0.237637157005911,1521.88058574231,374.53510499089
"Campina Grande",2011,100,30.175,100,0.405,0.935,59.835,57.69,56.25,78.57,0.3535106811,4.24338883503293,0.342220086097477,0.01404331161,0.014043311607,0.0467289993944929,1828633.19,0,1905472.04,3467039,0.225896322685299,1691.38905624515,450.224939777147
"Campina Grande",2012,100,32.525,100,0.56,1.215,NA,NA,43.75,85.71,0.2962948798,3.9661460148482,0.445598006691041,0.00945056678,0.009450566784,0.050077681044468,2463649.865,0,2257532.39,4510325.63,0.2419465820373,1886.8355331499,546.828876877997
"Cariri Ocidental",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62416588,4.09328043571275,0.439167859904944,0.01561289988,0.029020503193,0.141205094974718,456464.68,0,650573.925,692904.47,0.227237162299345,1371.34139620504,389.256239099859
"Cariri Ocidental",2008,100,43.56,100,0.29,0.91,48.44,42.62,50,0,0.60621433425,3.94114293479014,0.498582756728919,0.016056144185,0.023139310686,0.159516224082936,782640.455,0,805672.13,730855.46,0.23745757877592,1289.42399900025,474.128556122449
"Cariri Ocidental",2009,100,38.56,100,0.6,0.91,44.84,50,66.67,0,0.4684857101,3.85226317255529,0.343156061510386,0.01052957505,0.013941530592,0.191458082356933,794997.67,0,570081.285,731553.66,0.232922906030486,1377.33519950739,382.882783251232
"Cariri Ocidental",2010,100,37.5,100,0.25,0.96,45.19,53.19,66.67,0,0.3959740138,3.98808338876946,0.469134148011711,0.014275791625,0.0128745309605,0.00481292236980358,1211033.045,0,961415.575,790609.53,0.219075860736012,1586.78260508563,447.695908147379
"Cariri Ocidental",2011,100,30.99,100,0.57,1.13,41.86,63.68,50,14.29,0.3548104562,4.06188210512844,0.566852168013911,0.01395519694,0.013955196941,0.0326638697256103,1399585.625,0,885748.83,852347.73,0.228459928845634,1900.7996578338,488.979855930023
"Cariri Ocidental",2012,100,36.67,100,0.43,1.47,NA,NA,0,14.29,0.3714434314,3.80442684008545,0.595983726155894,0.0143610235,0.011195686004,0.0130858360487766,1607787.855,0,1400789.285,991870.28,0.228201731495229,1996.22465169686,507.91183975504
"Cariri Oriental",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6442956227,4.04816698501912,0.329705134907256,0.0100728887,0.010072888701,0.00552160961126295,396689.765,0,689698.85,593388.565,0.22344731992906,714.109089024104,179.56126171341
"Cariri Oriental",2008,100,41.275,100,0.335,0.825,63.64,59.82,66.67,0,0.5739818503,4.1412220754669,0.358850480813785,0.0076413131,0.0088400386505,0.0264027125286997,359309.13,0,946357.05,708357.605,0.224861505903574,836.060352370193,223.630442989168
"Cariri Oriental",2009,100,27.96,100,0.36,1.005,56.875,64.815,66.67,0,0.62776416135,4.42163443310915,0.350200854790819,0.00843228323,0.0115932898625,0.0293320054316316,491927.77,0,951972.53,838132.835,0.211727760692972,917.018778206257,210.811945941754
"Cariri Oriental",2010,100,29.61,100,0.32,0.795,53.3,66.765,66.67,7.145,0.5718878948,4.05489073167284,0.359910533469079,0.01181082091,0.0042055854075,0.0268066421695271,939584.08,0,912014.47,903601.91,0.217265941181631,1002.10927662357,256.663040926603
"Cariri Oriental",2011,100,25.77,100,0.31,1.43,52.6,63.395,37.5,14.29,0.5019478462,4.25868478986145,0.477849298390909,0.010716378475,0.007976837573,0.0211622422103308,1093719.3,0,961008.23,1007375.475,0.216913653234589,1172.70939790338,275.457566839163
"Cariri Oriental",2012,100,26.41,100,0.5,1.805,NA,NA,37.5,21.43,0.3287046114,3.88390606623964,0.761327668222275,0.01250911831,0.003758884012,0.0397194225024248,1245144.485,0,839300.99,1260670.91,0.220011126986831,1297.97473124323,346.726997783068
"Catolé do Rocha",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6049478324,3.56624407200884,0.385213161045994,0.016427615915,0.016427615917,0.0204610256342122,1072891.935,0,1168361.945,682704,0.273171602095457,987.934977485484,288.111335377753
"Catolé do Rocha",2008,100,52.08,100,0.11,1.05,25,44.9,83.33,0,0.5748637151,3.33717348237368,0.381159190692764,0.01300253327,0.013002533267,0.0237112445556418,619513.325,0,1514439.69,841151.72,0.269750482800628,1216.36362571939,315.66976516634
"Catolé do Rocha",2009,100,56.09,100,0.21,1.04,23,40,83.33,0,0.4739694711,3.57622864477388,0.428162455720623,0.01974045221,0.0197404522095,0.0206266665916776,1018374.315,0,1604874.875,907089.43,0.255599790614051,1233.81198513593,350.82772149423
"Catolé do Rocha",2010,100,56.43,100,0.18,1.19,20.47,54.13,83.33,0,0.3358293376,3.46644127895529,0.535522470064534,0.0292946738,0.029294673802,0.0120283116535633,1478673.33,0,1547245.05,987869.58,0.255940833593977,1349.171886402,384.182643495531
"Catolé do Rocha",2011,100,55.3,100,0.24,1.23,19.44,61.73,37.5,0,0.3096791532,3.45416548453508,0.383116848631642,0.02758238238,0.027582382383,0.0694538830112116,1185447.825,0,1862805.97,1516348.67,0.260601100772991,1519.45200413111,440.266741318571
"Catolé do Rocha",2012,100,51.22,100,0.3,1.42,NA,NA,0,28.57,0.38223116905,3.79527661874494,0.45589668065586,0.02850939967,0.033476795751,0.0279793657760652,590663.77,0,2079370.075,2363512.2,0.285369304547978,1820.53642519941,490.103833917498
"Curimataú Ocidental",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57094004545,4.35965180347144,0.300833218961717,0.01333919453,0.011568266277,0.00646759004249919,1101572.57,0,1042101.815,915531.27,0.232142071566059,1013.40809973046,300.843324348607
"Curimataú Ocidental",2008,100,39.23,100,0.12,0.81,68.39,55,66.67,0,0.6043214689,3.77918475242158,0.383734754315509,0.01381395988,0.007016575836,0.0348100023351714,1490081.595,0,939129.32,1038672.51,0.240216030692317,1181.53326729608,347.775253056802
"Curimataú Ocidental",2009,100,37.17,100,0.16,0.87,70,54.9,83.33,0,0.3162357716,4.36126891065611,0.301661836144253,0.01436305418,0.007997422539,0.00509232983002795,1571125.28,0,1257299.755,1867760.18,0.212446769546181,1372.84558268934,391.025258704849
"Curimataú Ocidental",2010,100,36.02,100,0.22,0.94,62,64.97,66.67,14.29,0.4082617408,4.39765395094588,0.417233345580279,0.015915399485,0.0099698386905,0.00307015706959112,1830640.48,0,1144809.855,1972632.38,0.210725679901941,1655.52888797364,453.480259562842
"Curimataú Ocidental",2011,100,32.02,100,0.16,1.23,64.04,57.14,62.5,57.14,0.3071585626,4.05969757472327,0.404678640046347,0.01847031455,0.012058934415,0.00360528009461996,2002947.67,0,621457.17,2521965.97,0.232693132112959,1968.37970369144,553.261470888662
"Curimataú Ocidental",2012,100,31.06,100,0.29,1.52,NA,NA,50,57.14,0.3096950299,3.92230295573942,0.356829477273313,0.01703297065,0.012984883576,0.00124529508372875,2205828.45,0,758625.935,2883405.82,0.232173307244718,2039.23161510313,632.335139720559
"Curimataú Oriental",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6429483566,4.13654521999599,0.426009000691831,0.01422247764,0.01422247764,0.0610638831995931,1941467.34,0,848391.64,1387982,0.218765951240969,526.330063868987,169.879433776868
"Curimataú Oriental",2008,100,47.56,98.3,0.1,0.86,65.92,50.8,83.33,0,0.65381136185,3.99039020990736,0.397540275738234,0.01531375474,0.014274055357,0.063782008656454,2597743.13,0,1159619.425,1657829.375,0.229750102806211,663.309905110057,215.062862254025
"Curimataú Oriental",2009,100,42.03,100,0.14,0.65,67.9,52.89,83.33,0,0.6047737152,4.12819049153546,0.249303414208097,0.01497720434,0.012872440984,0.0180638882923691,2618020.415,0,826214.39,1943356.695,0.210425023814626,696.621517195664,228.935324417063
"Curimataú Oriental",2010,100,51.48,100,0.13,0.83,60.83,63.16,83.33,0,0.3593000554,4.09551165106999,0.377585201730391,0.01250634176,0.0122258394555,0.0292419168877214,2882850.96,0,853717.96,2260309.74,0.228274743240795,812.812387427085,260.538640731881
"Curimataú Oriental",2011,100,44.06,100,0.24,1,55.56,62.14,50,28.57,0.36247667635,4.0761956960979,0.370041401812318,0.01342220433,0.012848376603,0.0163373326278205,3737453.92,0,664004.185,2560425.005,0.216646251085433,982.133012725658,316.720698008709
"Curimataú Oriental",2012,100,50.18,100,0.28,1.33,NA,NA,12.5,42.86,0.40703066285,3.83430676833208,0.421651145951774,0.01584738381,0.012775821069,0.0147343168504128,4507215.05,0,645283.23,3084130.22,0.217395896202142,1155.30204394853,367.19685296846
"Esperança",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4604205386,3.81553935380051,0.302678038909005,0.02013529178,0.006445505019,0.0308855688180867,1711143.93,0,2509213.52,1013330.365,0.241303846122382,1842.51027703149,513.128452381569
"Esperança",2008,100,39.895,100,0.26,0.795,62.185,63.925,66.67,0,0.52246920765,3.87855329070791,0.391725294401833,0.02020209773,0.0131864714285,0.0245368707236397,1968102.435,0,3550943.87,1207125.515,0.229683536811459,2239.98623438673,551.562236459534
"Esperança",2009,100,38.175,100,0.18,1.01,63.285,66.445,50,0,0.4427788307,4.13893173124974,0.17653315584287,0.00561544456,0.0040668462445,0.0554426346118155,2144270.65,0,4634479.38,1389110.55,0.23184345245959,2453.10143146448,601.794072843941
"Esperança",2010,100,41.255,100,0.355,1,60.135,76.92,50,7.145,0.3632600898,4.37671420552397,0.580872944078271,0.013165515715,0.0107201642245,0.0346680378519815,2161147.405,0,5806879.5,1556989.88,0.20042538189227,2785.06990757664,611.809964843884
"Esperança",2011,100,37.545,100,0.255,1.365,57.235,70.85,43.75,50,0.1695419716,4.42613234202341,0.407738013284493,0.01588325488,0.001289269072,0.0373702211522617,2528997.64,0,3359580.175,1900941.61,0.200790636897498,3308.60078747253,702.180769798877
"Esperança",2012,100,32.49,100,0.415,1.805,NA,NA,37.5,57.14,0.1378608209,4.17859583548023,0.467178847167986,0.01754048207,0.0004200632045,0.034086214454896,3103634.94,0,4253703.425,2244682.86,0.215468548653913,3726.73180745695,806.060379253008
"Guarabira",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62956317085,4.21393767172841,0.392586844146225,0.016524774585,0.0141516825525,0.032559569337616,1216681.56,0,887481.24,951216.57,0.227986302003696,923.879409672559,234.971122217614
"Guarabira",2008,100,37.585,100,0.115,1.62,58.435,52.16,75,0,0.56531483815,4.27353634551243,0.472705115875457,0.01525737019,0.012480287206,0.0333041463164669,1623012.9,0,1136446.79,1075617.205,0.225760103188458,1010.87945613724,239.230486988144
"Guarabira",2009,100,37.785,100,0.22,1.605,53.82,62.955,83.33,0,0.46474092585,4.31531075654027,0.310822921153119,0.01753269557,0.012315639732,0.0117209468860053,1643915.96,0,814199.6,1190841.05,0.213595769375511,1081.46959439347,262.595316692425
"Guarabira",2010,100,42.99,100,0.25,1.795,51.325,61.605,66.67,0,0.299556413,4.18528188121059,0.352809746338441,0.01657034171,0.013687926352,0.0272974331203452,1731225.04,0,1391347.01,1290658.915,0.213581862749506,1218.5710120887,289.950648848142
"Guarabira",2011,100,33.66,100,0.89,1.59,47.53,69.88,6.25,57.14,0.25871648095,4.13313337291135,0.406146775002256,0.02241682918,0.01785820262,0.0102211498171462,1980679.095,0,1476864.09,1523231.92,0.217007410955828,1377.98725959598,320.300027275489
"Guarabira",2012,100,30.31,100,0.815,2.405,NA,NA,62.5,57.14,0.24077618795,4.07710785300686,0.54655363511472,0.021279435235,0.0161642657685,0.00842650498939994,2318289.13,0,1590335.05,1787121.31,0.219563518731232,1662.58417532876,419.09502775469
"Itabaiana",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6324316481,3.92695612328819,0.272876340786551,0.01985686964,0.019472544394,0.130164755006809,1298820.54,0,196199.29,1026780.9,0.233207686803664,930.179569885601,272.833725961538
"Itabaiana",2008,100,51.45,100,0.15,0.76,66.67,44.72,83.33,0,0.6069247061,3.73680811837997,0.410805382215533,0.01884685444,0.0204376711595,0.115115474141781,2068367.95,0,293859.235,1639706.21,0.237840290724934,1068.98197866504,334.031941189984
"Itabaiana",2009,100,41.5,100,0.15,0.97,64.55,49.74,66.67,0,0.6062052005,3.88394305861921,0.236806403469815,0.01964685347,0.0212346648755,0.147729859375151,2375855.34,0,508644.445,1507512.04,0.240412336976202,1249.48155374638,320.175734059451
"Itabaiana",2010,100,54.31,100,0.34,1.13,57.5,56.44,16.67,0,0.6020761083,4.03738220553141,0.341768072785869,0.019250257135,0.017294089387,NA,2705698.42,0,268133.66,1637483.09,0.229787333013936,1478.04872565747,366.741885115415
"Itabaiana",2011,100,45.82,100,0.53,1.4,56.83,54.79,37.5,57.14,0.5099864322,3.99874772193895,0.275803767489908,0.019106054885,0.017387875074,NA,3199597.16,0,307734.515,1725700.71,0.229810943251394,1746.42410837308,463.32381690514
"Itabaiana",2012,100,30.77,100,0.63,1.82,NA,NA,0,57.14,0.4167780041,3.93111594643231,0.47381221540171,0.01555122541,0.0169749319785,0.00383072535698032,3677670.88,0,357210.96,2152396.33,0.230312692468239,1742.37918618499,497.703832208548
"Itaporanga",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72805961745,3.68501507615758,0.501553652435781,0.02213901905,0.022139019049,0.121201966937252,1245878.77,0,NA,656654.74,0.246755911869998,714.309182897139,208.531423596601
"Itaporanga",2008,100,38.89,100,0.05,0.49,51.28,29.63,83.33,0,0.6160812074,3.69616993773183,0.521868394796334,0.02227866621,0.022278666214,0.0626156098354578,1637926.48,0,31863.3,724161.61,0.233567302568113,805.198814455078,259.140586739683
"Itaporanga",2009,98.23,41.86,100,0.02,0.71,48.19,25.75,66.67,0,0.5569475794,3.75140569016046,0.31298129796302,0.00961874665,0.002909920978,0.244431260009332,1472305.43,0,161689.35,1041378.89,0.248235685628008,805.396189859452,331.071503333813
"Itaporanga",2010,100,34.85,100,0.03,0.85,45.56,40.38,50,0,0.58928933925,4.30254057340796,0.531338697577792,0.03998928995,0.024077264695,0.01555379855763,1736704.02,0,32990.66,1059480.015,0.203260788657603,895.599136448598,331.03318773085
"Itaporanga",2011,100,37.93,100,0.28,0.8,41.3,50.94,25,0,0.399306146,4.19764345492732,0.448257605215599,0.020223875255,0.000710496604,0.135278424657799,1801638.36,0,12810.95,1168052.115,0.2182983937636,941.517054124776,284.934107227582
"Itaporanga",2012,100,35.14,100,0.31,1.21,NA,NA,0,28.57,0.3022900167,3.43169398726226,0.603895161100886,0.02040148276,0.011850424675,0.0819034712308515,2083798.24,0,72680.51,1386849.435,0.230578457860514,1051.32181403309,386.172015588465
"João Pessoa",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47927411365,3.5869090606361,0.535007856237802,0.029236037035,0.007499921911,0.00700758982924264,5347319.355,0.131899155125,5139907.89,12321052.71,0.24979489322006,10545.9679293439,3062.08955968383
"João Pessoa",2008,99.095,37.93,100,0.195,1.485,53.505,41.495,58.335,14.29,0.4818871065,4.07026179624041,0.513411361303723,0.02414569461,0.003333322562,0.00801814306080305,6007193.195,0.18789528494,5812774.51,14697857.215,0.236405498199261,13587.1114920468,3811.05588057216
"João Pessoa",2009,100,34.295,100,0.27,1.525,49.355,44.41,75,14.29,0.4075796131,3.65798987814325,0.283281227380847,0.021333043365,0.004584072336,0.0112042320536142,5760934.705,0.14942866228,9250515.19,17250393.145,0.245804803439083,14502.3733915696,4186.29163677222
"João Pessoa",2010,100,32.365,100,0.43,1.58,48.545,47.43,66.67,57.145,0.46145817465,3.60159892609381,0.356589008878381,0.016422713005,0.003551799941,0.0197859328172988,8362668.68,0.12119758603,10317166.465,14999755.745,0.267058702446679,17108.9523293293,5274.38019885214
"João Pessoa",2011,100,29.8,100,0.89,1.93,46.555,52.005,62.5,64.285,0.4635524267,3.58116217963896,0.397430942386857,0.02324521856,0.008027952072,0.0137249521726484,7814649.565,0.114782573565,14588893.055,16750229.05,0.262284475659015,18367.6024522957,5468.47185794539
"João Pessoa",2012,99.06,27.205,100,0.985,2.66,NA,NA,43.75,57.14,0.4779795671,3.7572034825573,0.373317854837687,0.02254178872,0.005084672351,0.0120399824973031,9749376.295,0.063577531625,15989402.55,18483062.34,0.254699900642459,20859.4885008841,6250.50278861529
"Litoral Norte",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6211725227,4.14195514724742,0.408449366060327,0.01127540021,0.008972971493,0.0156835291541535,2189578.93,0,158641.11,1435275.625,0.218349812039727,1773.01783284742,476.541814058957
"Litoral Norte",2008,100,46,100,0.14,0.79,67.71,49.44,83.33,0,0.49551743035,4.01595201443779,0.454668385830155,0.010808406085,0.007672587597,0.0135324109506705,2601335.99,0,45000,1612001.225,0.223240315765063,1820.79673247496,445.509467811159
"Litoral Norte",2009,100,39.14,100,0.21,0.79,62.86,48.05,83.33,0,0.45209457875,4.21662152880402,0.332010342001705,0.00794471917,0.004410238767,NA,2434881.31,0,92891.61,1561512.1,0.230163249865403,2019.11293079294,515.348669094985
"Litoral Norte",2010,100,43.17,100,0.28,0.96,59.41,54.71,50,0,0.4783818956,4.04778082598009,0.351207717340751,0.01008866877,0.009199937821,NA,2785987.29,0,214600.835,2215103.05,0.209567534938475,2319.21246172688,587.388557868953
"Litoral Norte",2011,100,36.93,100,0.79,1.3,56.87,51.25,75,0,0.4490575535,4.35765168352252,0.380300849306213,0.00992181909,0.009313340144,0.014685378520423,3165601.26,0,204300,2322757.42,0.223572697496056,2647.12950650923,633.642870118074
"Litoral Norte",2012,100,25.64,100,0.67,1.66,NA,NA,37.5,0,0.4044443588,4.39478614272254,0.518434386490268,0.01170868074,0.009116129025,0.0147503968365383,2848114.4,0,238804.73,1819092.325,0.203532488324968,2760.46562612343,840.249126952343
"Litoral Sul",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4570120221,4.16192579490713,0.419272218361647,0.004786609005,0.005469305598,NA,4436403.9,0,729973.99,2476644.02,0.216513237757603,835.523188738127,199.6126863956
"Litoral Sul",2008,100,45.49,100,0.11,1.07,62.89,44.835,33.33,0,0.0337809227,4.0724040467075,0.415684846783073,0.01334606452,0.002336193752,0.00128506519141125,5732040.305,0,1935244.96,3011213.305,0.219071254892868,1000.75956756831,250.292455614726
"Litoral Sul",2009,100,37.675,100,0.215,1.065,59.63,45.695,58.335,0,0.1644159524,22834118611541.7,0.288673024209256,0.00071633602,0.000716336021,NA,5297406.89,0,320692.14,3097180.345,0.194702382156873,1086.26628217528,234.858772987467
"Litoral Sul",2010,100,36.505,100,0.3,1.33,57.425,54.22,83.33,0,0.36766874835,4.44835120757867,0.421798960496158,0.00264187074,0.001373383927,0.00038535747498876,5759228.86,0,745773.81,3591157.86,0.206371850037073,1259.13324285588,283.547628255424
"Litoral Sul",2011,100,41.765,100,0.785,1.685,54.505,57.12,37.5,35.715,0.3558404767,4.63722402054897,0.465490291917396,0.02210094037,0.001053471477,0.000174912030836411,6877764.56,0,1157717.85,3984815.11,0.199821262268608,1521.99663637347,325.776712444463
"Litoral Sul",2012,100,37.015,100,0.595,1.79,NA,NA,18.75,78.57,0.3741239511,4.13085164037826,0.585388896712663,0.007500796995,0.004926104148,NA,9616060.245,0,1329335.1,4864434.84,0.211965387714806,1814.21350451221,420.70644125093
"Mata Paraibana",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6122048612,4.076367323771,0.360195883454501,0.01338203639,0.008622689694,0.00939696545689807,2234875.885,0,170958.28,1671420.865,0.221842741639372,1543.58825311275,382.082568912371
"Mata Paraibana",2008,100,46.505,100,0.14,1.015,61.15,45.435,66.67,0,0.48107790035,4.05141798322592,0.493852707608386,0.013559537505,0.005054698407,0.00801814306080305,2768389.23,0,256067.95,1880533.19,0.220108948937836,1658.07879960486,394.861636190491
"Mata Paraibana",2009,100,40.45,100,0.23,1.095,60.36,45.79,75,0,0.44435554635,4.1913542083075,0.332752512329211,0.00987504415,0.0044639107015,0.0112042320536142,2861864.265,0,427818.255,2134314.4,0.217103988686708,1833.23005256061,429.765661428939
